operacao|ctefctef|cnpjctef|empresactef|valorCtef|valorAceitoCaixa
1083846|32024/2024|10.558.895/0001-38|NOROMIX CONCRETO S/A|3524445,94|3524445,94
1083850|01-2024|03.818.852/0001-89|CONCREVIA CONSTRUTORA LTDA|1918000,00|1918000,00
1083852|3298/2024|43.766.284/0001-34|AM CONSTRUTORA LTDA|1822500,00|1822500,00
1085596|052024/2024|03.688.640/0001-24|GOMES & AZEVEDO LTDA|5945960,74|5945960,74
1096648|001/2024|07.492.799/0001-20|NUNES ENGENHARIA LTDA|1090931,93|1090931,93
1083181|3450/2024|34.401.728/0001-47|ED BLOCOS LTDA|933830,00|933830,00
1083779|3637/2024|53.342.370/0001-73|VALLE URBANIZACAO E CONSTRUTORA LTDA|449500,75|449500,75
1083146|12023/2023|01.584.022/0001-09|UNITE CONSTRUTORA DE OBRAS LTDA|10447076,73|10447076,73
1083146|12023/2023|95.412.276/0001-93|PROCOENGE PAVIMENTACOES LTDA|10447076,73|10447076,73
1076320|022023/2023|11.059.024/0001-32|MARCONDI LUSTOSA DA SILVA LTDA|251924,70|251924,70
1076042|006/2023|36.475.702/0001-79|CONSTRUTORA ALVES LIMA LTDA|1223929,50|1223929,50
1080337|0142024/2024|40.571.626/0001-72|ORION SERVICOS ADMINISTRATIVOS LTDA|233397,99|233397,99
1083402|0202024/2024|20.656.199/0001-18|SOUSA SERVICOS DE CARTOGRAFIA LTDA|955824,69|955824,69
1083853|01/2024|09.146.524/0001-60|NOVAIS & MARCAL NOVAIS LTDA|300500,00|300500,00
1083201|011/2023|09.011.896/0001-89|CAMPO ALEGRE EMPREENDIMENTOS LTDA|452342,09|452342,09
1083485|01/1|13.613.420/0001-95|ECOPONTES - SISTEMAS ESTRUTURAIS SUSTENTAVEIS LTDA|2889670,06|2889670,06
1073483|01/2023|34.054.302/0001-64|OURO DO MAR - CONSTRUCOES E COMERCIO LTDA|482685,82|482685,82
1075905|052022/2022|18.818.196/0001-91|INOVE CONSTRUCOES EIRELI|924859,03|924859,03
1079224|212023/2023|10.278.338/0001-63|ACACIA CASA E JARDIM LTDA|1008800,00|1008800,00
1076679|002/2023|74.419.003/0001-09|RENOVA ASFALTOS PAVIMENTACAO E OBRAS LTDA|299971,33|299971,33
1078780|0092023/2023|26.082.397/0001-00|WS ENGENHARIA LTDA|329183,09|329183,09
1073488|10/22|15.320.722/0001-09|VIGENT CONSTRUCOES LTDA|1389529,11|1389529,11
1073900|CC 02/2022|09.497.417/0001-86|TC ENGENHARIA LTDA.|2996241,55|2996241,55
1096124|07/2024|28.193.418/0001-81|DALATEIA CONSTRUCOES LTDA|398000,00|398000,00
1083426|002/2024|30.430.210/0001-80|ACAO ENGENHARIA LTDA|379087,07|379087,07
1072842|CP-06/2022-PMI|30.598.395/0001-37|CONTECK COMERCIO E SERVICO DE INSTALACAO DE EQUIPAMENTOS LTDA|5139502,34|5139502,34
1072700|001/2022|10.565.011/0001-72|PLANALTO PAJEU EMPREENDIMENTOS LTDA|4905655,71|4905655,71
1084547|1702024/2024|37.258.274/0001-95|GV FORTE CONSTRUCOES LTDA|997010,31|997010,31
1081226|0142022/2022|26.804.092/0001-56|J K EMPREENDIMENTOS LTDA|1911377,21|1911377,21
1080074|19/19|32.611.370/0001-51|A7 PROJETOS E SERVICOS LTDA|583755,62|583755,62
1077039|004/2024|20.949.329/0001-00|PRIIMEE.CONSTRUCOES E EMPREENDIMENTOS LTDA|992121,21|992121,21
1082131|0032022/2022|26.804.092/0001-56|J K EMPREENDIMENTOS LTDA|670392,11|670392,11
1079943|09/9|35.979.217/0001-70|NOVAENGEVAL COMERCIO E SERVICOS DE ENGENHARIA LTDA|4018999,90|4018999,90
1083289|005/2023|32.611.684/0001-54|FEITOSA CONSTRUTORA LTDA|482566,24|482566,24
1090545|479/2024|35.978.627/0001-04|M. M. DA SILVA OLIVEIRA CONSTRUCAO DE EDIFICIOS LTDA|979197,83|979197,83
1076340|02/2|16.669.838/0001-02|DK RENTAL COMERCIAL LTDA|874000,00|874000,00
1084552|0022024/2024|36.178.439/0001-56|REIS CONSTRUCOES LTDA|534562,03|534562,03
1076803|002/2024|31.318.565/0001-45|OURIPAV PAVIMENTACAO LTDA|799023,80|799023,80
1086311|000022024/2024|28.697.127/0001-20|JGM CONSTRUTORA LTDA|793971,74|793971,74
1086326|002/2024|28.288.997/0001-46|HR SERVICOS E NEGOCIOS PARA EMPRESAS LTDA|342900,00|342900,00
1083293|010/2023|09.616.071/0001-98|C. H. ROGGIA CONSTRUCOES LTDA|664963,72|664963,72
1083225|01/2024|46.878.149/0001-79|R P NOGUEIRA ENGENHARIA LTDA|477762,14|477762,14
1083889|06/6|41.048.964/0001-97|GENNYS PAULO PEREIRA MORAIS|241084,45|241084,45
1083890|01/1|13.069.795/0001-36|MONT REAL ENGENHARIA LTDA|234000,00|234000,00
1083228|0412022/2022|45.791.801/0001-50|A B CONSULTORIA E ASSESSORIA LTDA|21816,67|21816,67
1078813|19/2024|27.105.288/0001-15|LIMA DE CASTRO ENGENHARIA E CONSTRUCOES LTDA|1349999,72|1349999,72
1077878|02/2|42.778.523/0001-03|ALVES E FREITAS ENGENHARIA LTDA|264302,52|264302,52
1073613|072021/2021|00.999.591/0001-52|A.G.C CONSTRUCOES & EMPREENDIMENTOS LTDA|306048,04|306048,04
1076682|0082022/2022|09.120.837/0001-49|CONCRETA ENGENHARIA LTDA|1824365,07|1824365,07
1089976|008/8|03.893.285/0001-25|CONCRETA INCORPORACOES LTDA|782448,48|782448,48
1089440|0052024/2024|49.434.127/0001-08|M L DE BRITO ARAUJO|245946,00|245946,00
1096675|007/PMBR/2025|10.599.044/0001-33|CONSONI CONSTRUCOES LTDA|769999,94|769999,94
1078724|0022024/2024|29.686.230/0001-38|AG TERRA CONSTRUCOES, TERRAPLENAGEM, PAVIMENTACAO E LOCACAO DE EQUIPAMENTOS LTDA|1499900,00|1499900,00
1086338|00122023/2023|34.464.579/0001-65|L C CONSTRUCOES LTDA|819527,95|819527,95
1086342|02/2|22.454.801/0001-60|HORIZONTES EMPREENDIMENTOS EM CONSTRUCAO LTDA|835000,00|835000,00
1077278|0012023/2023|17.723.085/0001-39|CONSTRUTORA CASTELUCCI LTDA|1446534,06|1446534,06
1074007|00001/2024|23.106.443/0001-67|KEVENY FERNANDES DE ARAUJO|388200,00|388200,00
1077642|004/2023|20.241.270/0001-00|VITAL OBRAS E CONSTRUCOES LTDA|573999,99|573999,99
1076052|0062022/2022|02.577.913/0001-09|CONSTRUTORA RENATA LTDA|561766,28|561766,28
1077469|001-2023|07.195.625/0001-03|WF SERVICOS DE ENGENHARIA E EDIFICACOES LTDA|522312,66|522312,66
1083228|002/2023|26.780.152/0001-48|SOUZA E REIS CONSTRUTORA LTDA|1944097,81|1944097,81
1089977|012025/2025|27.428.563/0001-31|LUCANO TERRAPLANAGEM E PAVIMENTACAO LTDA|457000,00|457000,00
1087280|000102024/2024|20.949.329/0001-00|PRIIMEE.CONSTRUCOES E EMPREENDIMENTOS LTDA|367777,85|367777,85
1083948|000022023/2023|35.268.125/0001-81|F DE ASSIS DA CONCEICAO LTDA|384673,27|384673,27
1072738|0122021/2021|21.850.903/0001-31|EXECUTIVA CONSULTORIA PUBLICA LTDA|14400,29|14400,29
1075998|002-2023|07.195.625/0001-03|WF SERVICOS DE ENGENHARIA E EDIFICACOES LTDA|283651,01|283651,01
1076965|16/2022|26.444.816/0001-06|PAVINI ENGENHARIA LTDA|294550,58|294550,58
1085665|001/2024|20.168.935/0001-99|NJ CAETANO EMPREENDIMENTOS IMOBILIARIOS LTDA|496678,09|496678,09
1076940|042/2022|03.792.129/0001-78|EWG SERVICOS LTDA|651109,79|651109,79
1076032|1/2023|10.929.199/0001-90|E. DOS SANTOS - SERVICOS|272425,12|272425,12
1076942|CP-1/2023-PMI|07.792.269/0001-05|CONSTRUTORA LYTORANEA S A - EM RECUPERACAO JUDICIAL|16276462,56|16276462,56
1073754|0162023/2023|13.540.548/0001-76|MARTINS CONSTRUCAO CIVIL E AMBIENTAL LTDA|758915,19|758915,19
1075914|0811.01/2023|27.089.999/0001-43|EXATA CONSTRUCOES E LOCACAO LTDA|559258,85|559258,85
1077784|00003/2022|11.150.150/0001-06|CONSTRUTORA DOIS IRMAOS LIMITADA|398991,30|398991,30
1077785|001/2023|27.743.003/0001-71|ANTONIO GOMES  LTDA|705918,16|705918,16
1086943|19/2024|32.109.890/0001-60|L.M. EMPREENDIMENTOS E CONSULTORIA LTDA|232000,00|232000,00
1076525|00012/2022|36.121.012/0001-11|PR CONSTRUCOES LTDA|435834,13|435834,13
1067606|008/2021|39.164.546/0001-13|CONTRATE DE ANGRA CONSTRUCOES LTDA|1299941,67|1299941,67
1073589|13/2022|35.042.630/0001-03|SOMOS CONSTRUCOES EIRELI|458760,53|458760,53
1078079|03/2023|17.471.810/0001-29|INFRA DESTAK PAVIMENTACOES LTDA|9755641,85|9755641,85
1054539|0042021/2021|17.620.703/0001-15|CONSTRUTORA APODI EIRELI|362633,44|362633,44
1054539|0042021/2021|17.620.703/0001-15|CONSTRUTORA APODI LTDA|362633,44|362633,44
1080076|25/2022|20.945.413/0001-56|VIANORTE LOCACOES DE VEICULOS E CONSTRUCOES LTDA|439117,38|439117,38
1078117|0012022/2022|18.825.294/0001-56|SED EDIFICACOES CONSTRUCAO CIVIL LTDA|577310,05|577310,05
1084543|0022023/2023|07.600.296/0001-20|CONSTRUTORA MARTINS ROMULO LTDA|1551465,82|1551465,82
1086867|12/12|01.609.785/0001-67|BAU CONSTRUTORA E MINERACAO LTDA|477799,99|477799,99
1074844|024/2021|13.585.696/0001-07|CONSTRUTORA JF PRADO LTDA|3103964,70|3103964,70
1078081|0022023/2023|29.196.556/0001-87|29.196.556 BEATRIZ DAS GRACAS SILVA|249649,41|249649,41
1078949|012024/2024|28.860.296/0001-30|CONSTRUTORA GFSM LTDA|288784,73|288784,73
1073875|0019/2022|39.710.111/0001-27|SOLUCOES EM ENGENHARIA LTDA|809464,83|809464,83
1071989|002/2|10.638.254/0001-93|BENFORT-PREMOLDADOS E MATERIAL DE CONSTRUCAO LTDA|833900,00|833900,00
1072034|0022020/2020|26.649.607/0001-90|ASO ENGENHARIA LTDA|848907,72|848907,72
1072645|012022/2022|43.722.532/0001-45|GEIVISON BARBOSA DOS SANTOS LTDA|481865,41|481865,41
1094173|00009/2024|21.798.708/0001-00|KAIROS ENGENHARIA E CONSTRUCOES LTDA|637610,28|637610,28
1093926|013/2024|11.379.632/0001-24|DTC - CONSTRUTORA E EMPREENDIMENTOS IMOBILIARIOS LTDA|1585999,97|1585999,97
1073484|00009/2022|17.440.965/0001-06|CONSTRUTORA EDFFICAR LTDA|294644,88|294644,88
1077483|092022/2022|17.803.401/0001-82|MAX MELLO DO COUTO EIRELI|621800,87|621800,87
1075930|022022/2022|34.448.864/0001-92|CONSTRUTORA BRANGER EIRELI|287014,53|287014,53
1097235|006/2024|31.500.254/0001-00|QUEIROZ E MOURA LTDA|1294804,44|1294804,44
1083958|900012024/2024|12.985.710/0001-05|CARLEANDRO DOS PASSOS LOBATO CONSTRUTORA|430500,00|430500,00
1083445|3473/2024|27.589.752/0001-96|UMPLER ENGENHARIA E SOLUCOES LTDA|248300,00|248300,00
1073697|0042022/2022|18.568.718/0001-44|F T S CONSTRUTORA LTDA|1855084,42|1855084,42
1083980|005/2023|18.270.903/0001-58|KADORA PRESTADORA DE SERVICOS LTDA|480738,35|480738,35
1083299|014/2023|25.165.699/0001-70|CLPT CONSTRUTORA LTDA|5507940,58|5507940,58
1073701|17/2022|24.326.933/0001-31|FDA CONSTRUTORA LTDA|329630,99|329630,99
1076225|004/2023|27.404.978/0001-75|DIMENSE ENGENHARIA E CONSTRUTORA LTDA|525809,68|525809,68
1078691|0012023/2023|27.844.369/0001-37|E. N. BEZERRA LTDA|382043,05|382043,05
1078733|062024/2024|46.800.853/0001-09|CONSTRUTORA TS LTDA|248905,26|248905,26
1084013|010.PMJ.2024 (Reprog|21.765.570/0001-42|J C F RIBEIRO ENGENHARIA|887350,00|887350,00
1072701|003/2023|08.571.042/0001-94|PAUDARCO SERVICOS DE CONSTRUCOES LTDA|50696860,62|50696860,62
1083276|2202300003|22.360.618/0001-03|PAVITEX SERVICOS DE PAVIMENTACAO E COMERCIO LTDA|821416,30|821416,30
1073767|0282024/2024|07.137.639/0001-62|L. G. CONSTRUCOES & PLANEJAMENTO LTDA|8301786,41|8301786,41
1076959|062023/2023|45.438.698/0001-60|CAMPAO ASFALTO E CONSTRUTORA LTDA|581156,96|581156,96
1076165|001/2023|15.130.631/0001-00|LUCENA ENGENHARIA LTDA|1027302,99|1027302,99
1076809|072022/2022|09.181.832/0001-26|NUNES CONSTRUCOES DE EDIFICIOS E OBRAS URBANISTICAS LTDA|468509,92|468509,92
1083360|3344/2024|34.448.864/0001-92|CONSTRUTORA D. BRANGER LTDA|228500,00|228500,00
1083533|032024/2024|40.567.652/0001-27|W E CONSTRUCOES LTDA|506511,86|506511,86
1085608|003/2023|19.562.853/0001-45|PLENNUS CONSTRUTORA, COMERCIO E SERVICOS LTDA|539115,61|539115,61
1073115|952023/2023|35.779.259/0001-67|BDC CONSTRUTORA LTDA|359990,00|359990,00
1077875|0012023/2023|17.653.616/0001-64|J.C.M. CONSTRUCAO LTDA|1390016,71|1390016,71
1086944|22836/2024|43.869.294/0001-03|METRON-CONSTRUCOES E LOCACAO LTDA|1456858,32|1456858,32
1086382|0062023/2023|40.227.586/0001-46|M CASTELO FALCAO LTDA.|4847716,11|4847716,11
1087012|018/2024|12.556.578/0001-08|M. D. SERVICOS E CONSTRUCOES LTDA.|376000,00|376000,00
1088444|62024/2024|28.718.762/0001-47|RW EMPREENDIMENTOS E CONSULTORIA LTDA|1388229,42|1388229,42
1084107|10/10|24.948.730/0001-87|GIDE ENGENHARIA LTDA|709319,10|709319,10
1072860|004/4|34.939.102/0001-99|RB NUNES COMERCIO E SERVICOS LTDA|1117116,48|1117116,48
1076684|027/2022|56.898.935/0001-91|N.F. MOTTA CONSTRUCOES E COMERCIO LTDA|4023510,09|4023510,09
1076010|0042022/2022|12.072.392/0001-83|AGRESTE CONSTRUTORA E COMERCIO LTDA|335044,22|335044,22
1076010|00420222/222|12.607.846/0001-73|CONCREALL COMERCIALIZACAO LTDA|478401,95|478401,95
1078014|060212024/2024|08.578.564/0001-18|FCS CONSTRUCOES E SERVICOS LTDA|335932,36|335932,36
1073802|012021/2021|05.590.129/0001-10|SP TERRAPLANAGEM, PAVIMENTACAO E SERVICOS - EIRELI|1346511,00|1346511,00
1073802|022021/2021|05.590.129/0001-10|SP TERRAPLANAGEM, PAVIMENTACAO E SERVICOS - EIRELI|2899952,69|2899952,69
1072987|0042020/2020|04.289.815/0001-93|CONSTRUTORA ROBERTO PASSARINI EIRELI|8768608,73|8768608,73
1075913|00004/2022|17.620.703/0001-15|CONSTRUTORA APODI EIRELI|479578,79|479578,79
1085186|006/2024|23.258.579/0001-92|ROSSINI BARCELOS RICARDO  LTDA|420980,00|420980,00
1077073|118/2022|34.824.415/0001-00|CLAUDOMIR VIEIRA CONSTRUCOES|480644,75|480644,75
1074458|259/2024|07.904.801/0001-20|POSITIVO CONSTRUTORA CIVIL LTDA|2860000,00|2860000,00
1077941|012023/2023|10.423.947/0001-69|CONSTRUTORA RASSI LTDA|293784,06|293784,06
1074462|007/7|15.439.806/0001-58|EMPREENDIMENTOS IMOBILIARIOS E CONSTRUTORA VALE DO SOL LTDA|482433,47|482433,47
1073872|001/1|15.017.690/0001-69|CONSTRUTORA NOVO TEMPO LTDA|7015192,61|7015192,61
1076968|0022023/2023|38.948.746/0001-02|HFG CONSTRUTORA LTDA|497929,84|497929,84
1073493|001/2022|23.730.194/0001-86|NOROESTE ASFALTOS E PAVIMENTACOES LTDA|337306,07|337306,07
1075382|00012023/2023|25.165.699/0001-70|CLPT CONSTRUTORA LTDA|231842,58|231842,58
1075265|2023.05.26.01|09.366.989/0001-26|LARGEM CONSTRUCOES LOCACOES E EVENTOS LTDA|1492978,70|1492978,70
1075410|0410012024/2024|35.214.818/0001-91|R M CLEMENTE CANDIDO|425000,00|425000,00
1075412|013/20247|28.183.078/0001-08|NOBREGA CONSTRUCOES LTDA|966066,51|966066,51
1078228|003/3|38.026.840/0001-04|AL CONSTRUCOES E SERVICOS DE TERRAPLANAGEM LTDA|1395781,72|1395781,72
1083638|18/2024|53.552.691/0001-00|TECLA CONSTRUCOES LTDA|2525981,90|2525981,90
1074401|008/2023|20.160.697/0001-75|TECTA CONSTRUCOES E SERVICOS LTDA|517705,58|517705,58
1076970|009/2022|37.292.538/0001-27|MULLER ENGENHARIA E CONSTRUCAO LTDA|14821,98|14821,98
1076970|3178/2023|18.778.775/0001-58|TOMCZAK INDUSTRIA DE ESTRUTURAS METALICAS LTDA|185900,00|185900,00
1076366|67 2022|42.279.461/0001-95|JS ASFALTO LTDA|3297335,94|3297335,94
1083374|00003/2024|10.641.065/0001-70|NIEMAIA CONSTRUCOES LTDA|860000,00|860000,00
1078929|00012022/2022|02.461.553/0001-77|CONSTRUTORA FN TOCANTINS LTDA|241250,00|241250,00
1085579|0032023/2023|02.072.980/0001-63|PROENGE CONSTRUCOES LTDA|973554,35|973554,35
1075459|082022/2022|08.946.897/0001-52|GS ENGENHARIA LTDA|826732,92|826732,92
1083550|004/2024|43.304.770/0001-30|FREITAS & FREITAS SERVICOS LTDA|493399,99|493399,99
1077593|0112022/2022|25.001.232/0001-95|CONSTRUTORA COPAF LTDA|2109823,26|2109823,26
1076457|06-2022|21.467.995/0001-75|ROSENILDO AMARAL CONSTRUCOES LTDA|636303,02|636303,02
1077594|003/2023|38.714.474/0001-78|DWR ENGENHARIA LTDA|397710,04|397710,04
1075482|00006/2023|44.459.047/0001-93|ANCORA CONSTRUTORA LTDA|328106,51|328106,51
1077051|0032022/2022|22.318.474/0001-19|CARVALHO CONSTRUCAO COMERCIO E SERVICOS EIRELI|880217,53|880217,53
1078131|009/2022|07.555.440/0001-54|R N CONSTRUCOES E SERVICOS LTDA|381164,22|381164,22
1078011|082023/2023|26.871.328/0001-77|J CASTRO ENGENHARIA LTDA|405800,00|405800,00
1076402|032022/2022|18.917.544/0001-88|M. A. EMPREENDIMENTOS E SERVICOS LTDA|263847,95|263847,95
1077726|001/1|03.716.753/0001-96|LONGUINI INDUSTRIA E COMERCIO DE PAVIMENTACOES LTDA|307420,90|307420,90
1079218|071/71|15.772.705/0001-02|ADMETO ENGENHARIA LTDA|587000,81|587000,81
1076186|03/2023|13.364.910/0001-03|TOTAL SERVICOS E CONSTRUCOES LTDA|279778,67|279778,67
1074257|001/2022|41.635.437/0001-89|SOUZA RODRIGUES ENGENHARIA LTDA|477552,19|477552,19
1074922|003/2022/CPL/SML|19.254.583/0001-05|TRANSTERRA LOGISTICA E EMPREENDIMENTOS LTDA|10882580,75|10882580,75
1073829|010/10|09.426.728/0001-54|ACLIVE CONSTRUCOES LTDA|1149999,78|1149999,78
1073831|009/9|09.426.728/0001-54|ACLIVE CONSTRUCOES LTDA|2281907,08|2281907,08
1083556|152024/2024|24.393.127/0001-86|CONSTRUTORA AGILIZA LTDA|746262,64|746262,64
1083557|003/2024|22.168.030/0001-44|S. DO VALE CARVALHO LTDA|824651,72|824651,72
1083670|0022023/2023|04.529.853/0001-76|TSC TERRAPLANAGEM SERVICOS E CONSTRUCOES LTDA|903320,80|903320,80
1077655|0042022/2022|08.643.167/0001-82|ALPHA ENGENHARIA, COMERCIO E SERVICOS LTDA|1969979,82|1969979,82
1076007|05/2023|42.488.572/0001-01|CONSTRUTORA SAO CRISTOVAO LTDA|353662,85|353662,85
1076410|1/2023|50.816.279/0001-54|CONSTRUTORA SAO FRANCISCO DE ASSIS LTDA|373924,81|373924,81
1095982|90022/2024|08.262.759/0001-54|CJF CONSTRUTORA LTDA|420779,00|420779,00
1072251|001/2023|04.717.160/0001-07|TECNIC CONSTRUTORA LTDA|288500,00|288500,00
1074444|012022/2022|26.781.189/0001-90|MENDES & FERREIRA CONSTRUCOES LTDA|1339529,83|1339529,83
1079228|0012024/2024|03.077.025/0001-81|ARCTURO CONSTRUCOES E SERVICOS LTDA|403098,26|403098,26
1074263|022023/2023|33.291.126/0001-11|R & S CONSTRUCOES E METALURGICA LTDA|1281015,51|1281015,51
1085321|001/2024|07.485.875/0001-70|SAJU  CONSTRUTORA LTDA|582500,00|582500,00
1073886|027/2021|21.636.958/0001-43|AMBIENTAL EMPREENDIMENTOS EIRELI|11115559,23|11115559,23
1078923|012/2022|36.012.319/0001-84|BRASIL CONST E TERRAPLANAGEM LTDA|590500,00|590500,00
1072264|02/2|44.340.736/0001-84|CAMACHO & SILVA LTDA|7932023,18|7932023,18
1073886|027/2021|27.603.095/0001-94|H E CONSTRUTORA E ESTRUTURAS EIRELI|11115559,23|11115559,23
1078996|119/2023|05.061.642/0001-14|CSM CONSTRUTORA SILVEIRA MARTINS LTDA|483612,63|483612,63
1074529|006/6|10.569.078/0001-85|HAMMER CONSTRUCOES E INCORPORACOES LTDA.|569128,43|569128,43
1074105|016/23|00.401.668/0001-40|VIGHNAHARTA CONSTRUCAO E ENGENHARIA LTDA|2902930,66|2902930,66
1085706|001/2024|07.485.875/0001-70|SAJU  CONSTRUTORA LTDA|486500,00|486500,00
1078866|62023/2023|35.563.630/0001-59|AVELINO LACERDA ENGENHARIA E CONSULTORIA LTDA|292296,21|292296,21
1075939|05/5|03.620.927/0001-12|PAVIPLAN PAVIMENTACAO LTDA|3037195,54|3037195,54
1078627|008/2022|45.098.012/0001-39|A J S SILVA FILHO|235791,53|235791,53
1078627|001/2024|39.926.481/0001-04|RE EMPREENDIMENTOS E SERVICOS LTDA|240479,99|240479,99
1078925|122024/2024|39.617.846/0001-00|DTV ENGENHARIA LTDA|695000,00|695000,00
1077582|04/4|10.948.612/0001-64|ALBATROZ CONSTRUCOES EIRELI|953234,99|953234,99
1086391|01/1|29.682.649/0001-11|HG ARAUJO CONSTRUTORA LTDA|667000,00|667000,00
1086395|001/2024|07.564.580/0001-99|KLAUS CONSTRUCOES E SERVICOS LTDA|3287926,87|3287926,87
1072450|002/2023|05.052.764/0001-44|CONSTRUTORA GURGEL SOARES LTDA|716969,21|716969,21
1077497|2023031401/1401|21.255.717/0001-54|GLOBAL EMPREENDIMENTOS E SERVICOS LTDA|472788,53|472788,53
1076193|01/2023|32.518.308/0001-10|RBN TERRAPLENAGEM SERVICOS E LOCACOES LTDA|251636,10|251636,10
1077816|00005/2023|12.072.392/0001-83|AGRESTE CONSTRUTORA E COMERCIO LTDA|231637,59|231637,59
1080858|13/2022|34.662.024/0001-28|EXATA CONSTRUTORA LTDA|3320214,89|3320214,89
1077821|004/2023|06.981.164/0001-23|SAEX CONSTRUCOES E COMERCIO LTDA|1187872,28|1187872,28
1077823|14/14|14.396.611/0001-05|MONTE VERDE INDUSTRIA, EXTRACAO E COMERCIO LTDA|278751,32|278751,32
1075953|00011/2023|26.743.365/0001-08|FREITAS SERVICOS DE ENGENHARIA LTDA|498190,00|498190,00
1077167|0042023/2023|05.894.690/0001-93|J. B. SERVICOS LTDA|11788584,40|11788584,40
1076423|44/2023|03.453.030/0001-41|FREEDOM ENGENHARIA E CONSTRUCAO LTDA|544652,94|544652,94
1072528|006/2022|96.818.745/0001-31|AMBIENTE SERVICOS URBANOS LTDA|3264177,04|3264177,04
1096902|11/2024|10.558.895/0001-38|NOROMIX CONCRETO S/A|2963731,27|2963731,27
1076580|008/2023|29.505.771/0001-12|CABRAL CONSTRUCOES E LOCACOES LTDA|1246220,89|1246220,89
1074145|2/2021|24.854.223/0001-84|CONSTRUTORA SANTOS E LIMA EIRELI|1853326,76|1853326,76
1077320|001/2023|44.962.956/0001-40|CONSTRUAGRO MATERIAL DE CONSTRUCAO E AGRONEGOCIO LTDA|619592,05|619592,05
1086827|90.010/2024|38.461.056/0001-16|EXECUTE PROJETOS E CONSTRUCOES LTDA|385000,00|385000,00
1094645|007/2024|02.136.629/0001-99|NOVA TERRA CONSTRUCOES E PAVIMENTACAO LTDA|769305,92|769305,92
1079134|072022/2022|34.348.652/0001-33|METRA CONSTRUCOES LTDA|564578,02|564578,02
1073892|037/2021|27.848.815/0001-81|CONSTRUTORA PRIME LTDA|2535692,67|2535692,67
1080340|008/8|34.707.265/0001-46|ANTONIO P COSTA EMPREITEIRA LTDA|4994767,45|4994767,45
1074569|103/2022/DLO|10.699.348/0001-72|M S KLAUCZEK & CIA LTDA|3922077,17|3922077,17
1074294|001/2021|10.772.765/0001-01|ACISA CONSTRUCOES E EMPREENDIMENTOS EIRELI|3438529,84|3438529,84
1074572|00001/2021|01.664.506/0001-68|A. P ENGENHARIA LTDA|1175760,77|1175760,77
1078576|03/2023|18.666.391/0001-43|C & R ENGENHARIA E CONSTRUCOES LTDA|702121,33|702121,33
1067075|12/2021|07.148.735/0001-06|BORGES COMERCIO E CONSTRUCOES EIRELI|14899109,26|14899109,26
1072815|09/2022|19.287.443/0001-33|ANTUNES ADMINISTRACAO DE OBRAS LTDA|527376,75|527376,75
1069616|0052023/2023|32.040.590/0001-72|ADP ENGENHARIA & CONSTRUCAO LTDA|316375,12|316375,12
1073897|00002/2022|17.177.202/0001-06|CONSTRUTORA PERFURACAO LTDA|640402,11|640402,11
1077360|018/18|25.046.107/0001-00|KLARILED ILUMINACAO ENGENHARIA & CONSTRUCAO LTDA|766500,00|766500,00
1083675|0022023/2023|22.282.957/0001-00|ESW CONSTRUCOES LTDA|196942,45|196942,45
1075520|05/5|24.727.348/0001-43|PLATIUM.WS CONSTRUCOES LTDA|244092,57|244092,57
1077733|177/2024|04.730.117/0001-81|SOLEAR CONSTRUCOES E COMERCIO LTDA|378039,34|378039,34
1067074|1/1|04.000.710/0001-72|WHITE TRATORES SERVICOS DE TERRAPLENAGEM EIRELI|13506722,92|13506722,92
1086592|469/2024|36.073.134/0001-80|PONTO OBRAS PAVIMENTADORA LTDA|844989,31|844989,31
1071774|012022/2022|09.330.539/0001-83|ONIX EMPREENDIMENTOS EIRELI|2802423,38|2802423,38
1071774|0012022/2022|09.330.539/0001-83|ONIX EMPREENDIMENTOS EIRELI|2875209,70|2875209,70
1076105|3346/2024|09.042.444/0001-64|TERRAS BARRIL - TERRAPLANAGENS E PAVIMENTACAO LTDA|318318,64|318318,64
1080481|009/2023|10.823.168/0001-50|SANSTEC EMPREENDIMENTOS E SERVICOS LTDA|456069,87|456069,87
1085393|0012023/2023|16.990.345/0001-70|CONSTRUTOP ENGENHARIA E CONSTRUCAO LTDA|321026,78|321026,78
1075527|0.2.006/2023|11.724.567/0001-27|HUMBERTO JOSE MENDES DA SILVA|292505,21|292505,21
1084183|102023/2023|95.257.945/0001-08|CONSTRUBRAS CONSTRUTORA LTDA|295116,85|295116,85
1083570|12/12|87.654.547/0001-99|COESUL-CONSTRUTORA EXTREMO SUL LTDA|596407,28|596407,28
1085396|14/2024|46.774.189/0001-70|construtora fortezza ltda|355216,37|355216,37
1074603|0032021/2021|26.094.503/0001-67|CONSTRUTORA RS SERVICOS LTDA|345777,89|345777,89
1080836|TP05/2023|14.666.709/0001-35|SYSTEM SEG SERVICOS LTDA|265881,62|265881,62
1077187|015/2023|14.364.244/0001-68|SYARA CONSTRUCOES COMERCIO E SERVICOS DE TERRAPLANAGEM LTDA|9231566,66|9231566,66
1085762|002/2|11.286.215/0001-37|ALEX MACHADO NUNES & CIA CONSTRUCOES LTDA|506767,92|506767,92
1085421|062023/2023|09.612.952/0001-30|VALQUIR DE MELO SANTOS|712649,68|712649,68
1083425|015/15|01.724.070/0001-55|J R LIMA ARRUDA|629600,85|629600,85
